cur_ost_ind,loan_condition,dti_group,income_group,home_ownership,purpose,term,interest_payments,annual_inc,tot_loan_amount,avg_interest_rate,tot_upb,gco_units,avg_dti,tot_units
No,Bad Loan,"(10,20]","(100k,125k]",own,credit_card,36 months,High,122560,144600,16.922,129720.75,5,14.428,5
No,Bad Loan,"(10,20]","(100k,125k]",own,credit_card,36 months,Low,111430.18181818182,202700,9.873636363636363,128960.83,11,14.30181818181818,11
No,Bad Loan,"(10,20]","(100k,125k]",own,credit_card,60 months,High,117222.22222222222,203650,17.448888888888888,190236.51,9,14.043333333333333,9
No,Bad Loan,"(10,20]","(100k,125k]",own,credit_card,60 months,Low,102000,30500,12.99,24488.1,1,16.02,1
No,Bad Loan,"(10,20]","(100k,125k]",own,debt_consolidation,36 months,High,112036,557500,16.231153846153845,427089.17,26,14.489230769230769,26
No,Bad Loan,"(10,20]","(100k,125k]",own,debt_consolidation,36 months,Low,114406.53333333334,524300,9.744333333333334,379278.15,30,14.590333333333334,30
No,Bad Loan,"(10,20]","(100k,125k]",own,debt_consolidation,60 months,High,114714.81481481482,678425,19.427407407407408,600453.39,27,14.530740740740741,27
No,Bad Loan,"(10,20]","(100k,125k]",own,debt_consolidation,60 months,Low,110346.85714285714,182775,12.154285714285715,161083.74,7,15.08,7
No,Bad Loan,"(10,20]","(100k,125k]",own,home_improvement,36 months,High,118000,127075,15.955,96126.88,6,16.311666666666667,6
No,Bad Loan,"(10,20]","(100k,125k]",own,home_improvement,36 months,Low,112333.33333333333,51300,9.823333333333334,33867.09,3,15.43,3
No,Bad Loan,"(10,20]","(100k,125k]",own,home_improvement,60 months,High,114000,126500,17.762,107182.89,5,15.677999999999999,5
No,Bad Loan,"(10,20]","(100k,125k]",own,home_improvement,60 months,Low,120000,24000,10.99,23393.44,1,13.12,1
No,Bad Loan,"(10,20]","(100k,125k]",own,house,36 months,High,108000,8000,15.27,5935.030000000001,1,12.48,1
No,Bad Loan,"(10,20]","(100k,125k]",own,house,36 months,Low,101000,24000,9.17,22241.53,1,14.53,1
No,Bad Loan,"(10,20]","(100k,125k]",own,major_purchase,36 months,High,125000,35000,16.99,20678.18,1,15.36,1
No,Bad Loan,"(10,20]","(100k,125k]",own,major_purchase,36 months,Low,112000,10000,6.24,10000,1,15.81,1
No,Bad Loan,"(10,20]","(100k,125k]",own,major_purchase,60 months,High,117000,24000,23.83,23354.32,1,14.72,1
No,Bad Loan,"(10,20]","(100k,125k]",own,medical,36 months,High,106000,2000,22.9,1665.03,1,13.33,1
No,Bad Loan,"(10,20]","(100k,125k]",own,medical,36 months,Low,120000,10000,11.99,10000,1,11.07,1
No,Bad Loan,"(10,20]","(100k,125k]",own,moving,36 months,High,104000,9625,18.24,7455.67,1,11.67,1
No,Bad Loan,"(10,20]","(100k,125k]",own,other,36 months,High,120000,14000,15.88,6646.2,1,19.05,1
No,Bad Loan,"(10,20]","(100k,125k]",own,other,36 months,Low,106000,24800,9.835,16446.379999999997,2,13.915,2
No,Bad Loan,"(10,20]","(100k,125k]",own,other,60 months,High,114800,91075,20.532,82378.86,5,15.272,5
No,Bad Loan,"(10,20]","(100k,125k]",own,small_business,36 months,High,114000,57800,20.479999999999997,48861.64,2,10.645,2
No,Bad Loan,"(10,20]","(100k,125k]",own,small_business,60 months,High,115000,70000,20.49,61477.64,2,13.76,2
No,Bad Loan,"(10,20]","(100k,125k]",own,vacation,36 months,High,107000,5000,13.98,4183.78,1,10.24,1
No,Bad Loan,"(10,20]","(100k,125k]",own,vacation,60 months,High,120000,27350,22.99,26333.74,1,11.45,1
No,Bad Loan,"(10,20]","(100k,125k]",rent,car,36 months,High,110500,46200,16.755,32700.73,2,14,2
No,Bad Loan,"(10,20]","(100k,125k]",rent,car,36 months,Low,106000,5000,12.12,4288.16,1,14.54,1
No,Bad Loan,"(10,20]","(100k,125k]",rent,car,60 months,High,120000,18000,25.57,16699.6,1,11.07,1
No,Bad Loan,"(10,20]","(100k,125k]",rent,car,60 months,Low,103000,10000,11.49,1329.7399999999998,1,17.09,1
No,Bad Loan,"(10,20]","(100k,125k]",rent,credit_card,36 months,High,114444.125,653575,16.5571875,420300.22000000003,32,14.6315625,32
No,Bad Loan,"(10,20]","(100k,125k]",rent,credit_card,36 months,Low,114498.37037037036,956525,10.438703703703704,606895.23,54,14.588703703703704,54
No,Bad Loan,"(10,20]","(100k,125k]",rent,credit_card,60 months,High,112713.18181818182,1088975,18.006818181818183,897559.94,44,14.610681818181819,44
No,Bad Loan,"(10,20]","(100k,125k]",rent,credit_card,60 months,Low,112600,128200,11.722,110415.71,5,14.062,5
No,Bad Loan,"(10,20]","(100k,125k]",rent,debt_consolidation,36 months,High,112671.84210526316,2782400,16.59032894736842,1925142.94,152,15.18,152
No,Bad Loan,"(10,20]","(100k,125k]",rent,debt_consolidation,36 months,Low,112877.29787234042,1539650,10.77372340425532,1047548.79,94,14.641808510638297,94
No,Bad Loan,"(10,20]","(100k,125k]",rent,debt_consolidation,60 months,High,112891.16470588236,4556875,19.91776470588235,3851489.89,170,15.231176470588235,170
No,Bad Loan,"(10,20]","(100k,125k]",rent,debt_consolidation,60 months,Low,113717.21052631579,458400,11.456842105263158,360179.06,19,15.690526315789473,19
No,Bad Loan,"(10,20]","(100k,125k]",rent,home_improvement,36 months,High,108000,82000,13.995000000000001,77394.11,4,13.075,4
No,Bad Loan,"(10,20]","(100k,125k]",rent,home_improvement,36 months,Low,114000,37000,12.596666666666666,27397.87,3,14.636666666666667,3
No,Bad Loan,"(10,20]","(100k,125k]",rent,home_improvement,60 months,High,108000,33000,23.99,31807.08,1,16.81,1
No,Bad Loan,"(10,20]","(100k,125k]",rent,home_improvement,60 months,Low,115000,28000,10.49,24672.95,1,16.81,1
No,Bad Loan,"(10,20]","(100k,125k]",rent,house,36 months,High,114000,41000,21.22,10552.77,2,12.835,2
No,Bad Loan,"(10,20]","(100k,125k]",rent,house,36 months,Low,102000,18000,11.58,10777.74,1,11.35,1
No,Bad Loan,"(10,20]","(100k,125k]",rent,house,60 months,High,118633.33333333333,76425,20.59,53510.77,3,12.436666666666667,3
No,Bad Loan,"(10,20]","(100k,125k]",rent,major_purchase,36 months,High,114600,98225,19.746,75345.38,5,15.501999999999999,5
No,Bad Loan,"(10,20]","(100k,125k]",rent,major_purchase,36 months,Low,113333.33333333333,44750,10.723333333333333,33487.16,3,12.743333333333334,3
No,Bad Loan,"(10,20]","(100k,125k]",rent,major_purchase,60 months,High,117017.14285714286,179000,19.442857142857143,159034.04,7,13.184285714285714,7
No,Bad Loan,"(10,20]","(100k,125k]",rent,medical,36 months,High,110200,35800,20.742,31964.350000000002,5,14.822,5
No,Bad Loan,"(10,20]","(100k,125k]",rent,medical,60 months,High,104000,18000,26.06,16911.2,1,17.89,1
No,Bad Loan,"(10,20]","(100k,125k]",rent,moving,36 months,High,109000,14500,20.345,11270.96,2,14.355,2
No,Bad Loan,"(10,20]","(100k,125k]",rent,moving,36 months,Low,110666.66666666667,19425,11.556666666666667,18015.239999999998,3,16.663333333333334,3
No,Bad Loan,"(10,20]","(100k,125k]",rent,moving,60 months,High,113000,29000,21.375,25408.52,2,13.195,2
No,Bad Loan,"(10,20]","(100k,125k]",rent,other,36 months,High,115066.11764705883,211350,18.536470588235293,157339.48,17,13.90764705882353,17
No,Bad Loan,"(10,20]","(100k,125k]",rent,other,36 months,Low,114833.33333333333,59000,9.401666666666667,37459.96,6,13.646666666666667,6
No,Bad Loan,"(10,20]","(100k,125k]",rent,other,60 months,High,112223.72727272728,159900,20.71727272727273,133093.26,11,14.618181818181819,11
No,Bad Loan,"(10,20]","(100k,125k]",rent,other,60 months,Low,120000,32000,12.12,25726.1,1,13.24,1
No,Bad Loan,"(10,20]","(100k,125k]",rent,renewable_energy,36 months,High,125000,31800,21.97,26413.12,1,17.89,1
No,Bad Loan,"(10,20]","(100k,125k]",rent,renewable_energy,36 months,Low,120000,20000,12.49,12560.75,1,12.83,1
No,Bad Loan,"(10,20]","(100k,125k]",rent,small_business,36 months,High,114857.14285714286,102525,18.708571428571428,72253.25,7,14.297142857142857,7
No,Bad Loan,"(10,20]","(100k,125k]",rent,small_business,36 months,Low,125000,18250,8.9,14137.21,1,11.37,1
No,Bad Loan,"(10,20]","(100k,125k]",rent,small_business,60 months,High,112250,95300,21.2425,79287.98,4,14.9875,4
No,Bad Loan,"(10,20]","(100k,125k]",rent,vacation,36 months,High,108456,6025,13.33,5324.4,1,16.83,1
No,Bad Loan,"(10,20]","(100k,125k]",rent,vacation,36 months,Low,113300,8000,6.54,2364.8500000000004,1,12.75,1
No,Bad Loan,"(10,20]","(100k,125k]",rent,vacation,60 months,High,101000,12000,23.99,11217.56,1,15.34,1
No,Bad Loan,"(10,20]","(100k,125k]",rent,wedding,36 months,High,106000,29250,21.564999999999998,16940.329999999998,2,14.345,2
No,Bad Loan,"(10,20]","(100k,125k]",rent,wedding,60 months,High,107448,37000,18.175,24981.34,2,11.23,2
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,car,36 months,High,133000,12000,16.29,7700.45,1,12.03,1
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,car,36 months,Low,126000,6000,10,1327.6400000000003,1,15.29,1
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,car,60 months,High,141000,33000,16.82,23510.04,2,12.605,2
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,credit_card,36 months,High,143798.60869565216,541350,15.429130434782609,354230.26,23,14.738260869565217,23
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,credit_card,36 months,Low,138421.3142857143,727500,9.728,482675.15,35,14.697714285714286,35
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,credit_card,60 months,High,140642.44444444444,1200050,18.162444444444443,995686,45,14.927333333333333,45
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,credit_card,60 months,Low,139359.54545454544,284200,11.493636363636364,242549.55,11,15.095454545454546,11
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,debt_consolidation,36 months,High,138416.35955056178,2097175,16.18078651685393,1408851.1199999999,89,14.990898876404493,89
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,debt_consolidation,36 months,Low,139409.8640776699,2029850,10.177766990291262,1367730.75,103,14.866796116504855,103
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,debt_consolidation,60 months,High,138588.06164383562,4056850,19.22945205479452,3385773.14,146,14.949794520547945,146
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,debt_consolidation,60 months,Low,137090.25,471600,10.969,405024.38,20,14.753,20
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,home_improvement,36 months,High,140375,329600,17.37875,247643.5,16,14.495,16
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,home_improvement,36 months,Low,140191.81818181818,344250,11.252727272727272,248236.23,22,15.09590909090909,22
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,home_improvement,60 months,High,139214.87096774194,762050,19.088387096774195,658972.75,31,13.910967741935483,31
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,home_improvement,60 months,Low,134742.85714285713,144400,11.84,126096.45,7,15.067142857142857,7
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,house,60 months,High,135000,12000,18.64,7367.52,1,10.31,1
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,house,60 months,Low,130000,25000,12.61,602.9599999999991,1,10.59,1
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,major_purchase,36 months,High,145000,42825,19.03,38541.42,2,14.844999999999999,2
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,major_purchase,36 months,Low,140666.66666666666,40225,9.016666666666666,26035.73,3,13.963333333333333,3
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,major_purchase,60 months,High,137500,70000,20.49,65257,2,15.365,2
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,major_purchase,60 months,Low,147000,35000,12.99,17907.21,1,13.49,1
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,medical,36 months,High,137749,34250,16.9675,22788.769999999997,4,13.537500000000001,4
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,medical,36 months,Low,128000,5000,12.23,4289.54,1,16.08,1
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,medical,60 months,High,145000,50125,21.905,36657.49,2,16.8,2
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,other,36 months,High,135900,62275,18.555,44488.310000000005,4,15.7875,4
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,other,36 months,Low,141999,42500,11.0125,16651.15,4,16.465,4
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,other,60 months,High,141666.66666666666,200425,19.897777777777776,180431.38,9,15.586666666666668,9
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,renewable_energy,60 months,High,148000,27000,26.06,24809.43,1,17.57,1
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,small_business,36 months,High,143300,171575,17.671,127399.97,10,14.898,10
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,small_business,36 months,Low,150000,15850,8.9,13494.49,1,16.91,1
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,small_business,60 months,High,135110,295225,20.407,226757.36,10,12.734,10
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,small_business,60 months,Low,140000,32000,12.12,19454.489999999998,1,17.35,1
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,vacation,36 months,Low,128000,3500,12.53,1114.3000000000002,1,19.28,1
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,vacation,60 months,High,140000,20800,25.8,20084.91,1,14.21,1
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,wedding,36 months,High,140000,12000,19.72,2148.7199999999993,1,16.6,1
No,Bad Loan,"(10,20]","(125k,150k]",mortgage,wedding,36 months,Low,141000,9000,11.49,6109.96,1,13.4,1
No,Bad Loan,"(10,20]","(125k,150k]",own,credit_card,36 months,High,145000,13250,18.75,11203.33,1,11.9,1
No,Bad Loan,"(10,20]","(125k,150k]",own,credit_card,36 months,Low,139700,119000,9.954,88178.12999999999,5,14.368,5
No,Bad Loan,"(10,20]","(125k,150k]",own,credit_card,60 months,High,141200,146000,19.484,137073.63,5,16.330000000000002,5
No,Bad Loan,"(10,20]","(125k,150k]",own,debt_consolidation,36 months,High,142888.88888888888,214350,16.598888888888887,170970.51,9,15.62,9
No,Bad Loan,"(10,20]","(125k,150k]",own,debt_consolidation,36 months,Low,139833.75,124700,9.44875,70618.45,8,15.471250000000001,8
No,Bad Loan,"(10,20]","(125k,150k]",own,debt_consolidation,60 months,High,136529.8125,356375,19.455624999999998,296750.92,16,14.30875,16
No,Bad Loan,"(10,20]","(125k,150k]",own,debt_consolidation,60 months,Low,132500,44000,10.42,40829.36,2,16.845,2
No,Bad Loan,"(10,20]","(125k,150k]",own,home_improvement,36 months,High,140333.33333333334,34450,17.83,21294.36,3,16.483333333333334,3
No,Bad Loan,"(10,20]","(125k,150k]",own,home_improvement,36 months,Low,133650,40000,11.14,30947.58,2,12.620000000000001,2
No,Bad Loan,"(10,20]","(125k,150k]",own,home_improvement,60 months,High,133576.4,125525,18.06,118759.12,5,12.462,5
No,Bad Loan,"(10,20]","(125k,150k]",own,home_improvement,60 months,Low,125928,16800,12.12,9384.51,1,10.87,1
No,Bad Loan,"(10,20]","(125k,150k]",own,major_purchase,60 months,High,147000,18825,18.25,17613.95,1,13.2,1
No,Bad Loan,"(10,20]","(125k,150k]",own,other,36 months,High,145000,99000,17.73,64608.79,4,14.04,4
No,Bad Loan,"(10,20]","(125k,150k]",own,other,60 months,High,130000,32000,22.02,28968.800000000003,2,18.205,2
No,Bad Loan,"(10,20]","(125k,150k]",own,other,60 months,Low,144240,25000,11.99,12356.1,1,15.77,1
No,Bad Loan,"(10,20]","(125k,150k]",rent,car,36 months,High,141980,26000,14.16,23011.04,1,10.57,1
No,Bad Loan,"(10,20]","(125k,150k]",rent,car,36 months,Low,127000,7000,9.99,5797.34,1,10.91,1
No,Bad Loan,"(10,20]","(125k,150k]",rent,credit_card,36 months,High,140377.7142857143,340700,16.324285714285715,212210.12,14,14.187857142857144,14
No,Bad Loan,"(10,20]","(125k,150k]",rent,credit_card,36 months,Low,137927.85714285713,309950,9.782857142857143,167857.89,14,14.529285714285715,14
No,Bad Loan,"(10,20]","(125k,150k]",rent,credit_card,60 months,High,139185.08,666475,18.31,563330.94,25,14.0004,25
No,Bad Loan,"(10,20]","(125k,150k]",rent,credit_card,60 months,Low,142000,88000,11.932500000000001,58553.91,4,14.8425,4
No,Bad Loan,"(10,20]","(125k,150k]",rent,debt_consolidation,36 months,High,137774.3,1264950,17.489166666666666,820056.83,60,14.437833333333334,60
No,Bad Loan,"(10,20]","(125k,150k]",rent,debt_consolidation,36 months,Low,139228.29166666666,731400,10.475,470528.14,48,15.545416666666666,48
No,Bad Loan,"(10,20]","(125k,150k]",rent,debt_consolidation,60 months,High,140310.73076923078,2085575,19.427948717948716,1761602.46,78,14.722564102564103,78
No,Bad Loan,"(10,20]","(125k,150k]",rent,debt_consolidation,60 months,Low,137733.33333333334,138500,12.365,115524.5,6,13.583333333333334,6
No,Bad Loan,"(10,20]","(125k,150k]",rent,home_improvement,36 months,Low,150000,29300,8.18,20853.34,1,13.05,1
No,Bad Loan,"(10,20]","(125k,150k]",rent,home_improvement,60 months,High,142500,51950,20.35,46155.57,2,15.1,2
No,Bad Loan,"(10,20]","(125k,150k]",rent,house,36 months,High,135000,25000,13.65,19090.25,1,14.36,1
No,Bad Loan,"(10,20]","(125k,150k]",rent,major_purchase,36 months,High,147333.33333333334,46900,20.793333333333333,41023.27,3,14.74,3
No,Bad Loan,"(10,20]","(125k,150k]",rent,major_purchase,36 months,Low,137500,42000,12.065000000000001,20654.2,2,15.525,2
No,Bad Loan,"(10,20]","(125k,150k]",rent,major_purchase,60 months,High,138995,83800,16.736666666666665,77974.62,3,14.65,3
No,Bad Loan,"(10,20]","(125k,150k]",rent,moving,36 months,High,140000,28000,17.4,24883.739999999998,2,13.024999999999999,2
No,Bad Loan,"(10,20]","(125k,150k]",rent,moving,60 months,High,142333.33333333334,66000,25.116666666666667,58319.96,3,13.766666666666666,3
No,Bad Loan,"(10,20]","(125k,150k]",rent,other,36 months,High,142339.2857142857,145825,19.22,69016.79000000001,7,15.204285714285716,7
No,Bad Loan,"(10,20]","(125k,150k]",rent,other,36 months,Low,129399,2500,8.9,1873.1799999999998,1,13.41,1
No,Bad Loan,"(10,20]","(125k,150k]",rent,other,60 months,High,137425,50200,22.6025,44756.36,4,14.0775,4
No,Bad Loan,"(10,20]","(125k,150k]",rent,small_business,36 months,High,138880,83500,17.532,62549.49,5,14.436,5
No,Bad Loan,"(10,20]","(125k,150k]",rent,small_business,36 months,Low,140000,15000,9.63,7634.67,1,10.13,1
No,Bad Loan,"(10,20]","(125k,150k]",rent,small_business,60 months,High,142857.14285714287,184600,20.591428571428573,145723.69,7,13.655714285714286,7
No,Bad Loan,"(10,20]","(125k,150k]",rent,wedding,36 months,Low,137004,5600,8.59,4765.72,1,12.15,1
No,Bad Loan,"(10,20]","(125k,150k]",rent,wedding,60 months,High,130000,35000,24.5,29755.489999999998,1,13.06,1
No,Bad Loan,"(10,20]","(25k,50k]",mortgage,car,36 months,High,40942.857142857145,36825,15.384285714285713,17576.649999999998,7,16.707142857142856,7
No,Bad Loan,"(10,20]","(25k,50k]",mortgage,car,36 months,Low,41064,62500,8.63,31264.879999999997,10,13.897,10
No,Bad Loan,"(10,20]","(25k,50k]",mortgage,car,60 months,High,38812.166666666664,34175,17.6,25404.75,6,14.148333333333333,6
No,Bad Loan,"(10,20]","(25k,50k]",mortgage,car,60 months,Low,42200,16750,11.363333333333333,9538.8,3,13.466666666666667,3
No,Bad Loan,"(10,20]","(25k,50k]",mortgage,credit_card,36 months,High,39914.53289473684,1529200,15.939868421052632,996618.72,152,15.457236842105264,152
No,Bad Loan,"(10,20]","(25k,50k]",mortgage,credit_card,36 months,Low,41477.34170854271,2109575,10.419497487437186,1272167.29,199,15.546633165829146,199
No,Bad Loan,"(10,20]","(25k,50k]",mortgage,credit_card,60 months,High,42612.375939849626,2098575,17.56421052631579,1744327.3,133,15.588045112781955,133
No,Bad Loan,"(10,20]","(25k,50k]",mortgage,credit_card,60 months,Low,41570.125,237025,11.690624999999999,190815.95,16,15.11,16
No,Bad Loan,"(10,20]","(25k,50k]",mortgage,debt_consolidation,36 months,High,40376.57142857143,5982475,16.32292517006803,4202647.69,588,15.758520408163266,588
No,Bad Loan,"(10,20]","(25k,50k]",mortgage,debt_consolidation,36 months,Low,40872.72689938398,5050250,10.938439425051335,3261180.14,487,15.160554414784395,487
No,Bad Loan,"(10,20]","(25k,50k]",mortgage,debt_consolidation,60 months,High,42814.294214876034,9248125,18.604859504132232,7700239.02,605,15.788611570247934,605
No,Bad Loan,"(10,20]","(25k,50k]",mortgage,debt_consolidation,60 months,Low,42152.745762711864,877675,11.390169491525423,670953.92,59,15.897966101694916,59
No,Bad Loan,"(10,20]","(25k,50k]",mortgage,educational,36 months,Low,35525,13000,10.105,7563.1900000000005,2,17.9,2
No,Bad Loan,"(10,20]","(25k,50k]",mortgage,home_improvement,36 months,High,40657.02040816326,905000,16.630816326530613,627250.81,98,15.47704081632653,98
No,Bad Loan,"(10,20]","(25k,50k]",mortgage,home_improvement,36 months,Low,40513.4,417000,10.5646,261629.3,50,15.5922,50
No,Bad Loan,"(10,20]","(25k,50k]",mortgage,home_improvement,60 months,High,43133,728825,17.697,606070.99,50,15.463000000000001,50
No,Bad Loan,"(10,20]","(25k,50k]",mortgage,home_improvement,60 months,Low,42280.470588235294,243175,11.131764705882352,187636.97,17,13.622941176470588,17
No,Bad Loan,"(10,20]","(25k,50k]",mortgage,house,36 months,High,39675.545454545456,92250,18.495454545454546,68689.03,11,16.44272727272727,11
No,Bad Loan,"(10,20]","(25k,50k]",mortgage,house,36 months,Low,40000,28875,9.855,22617.61,4,14.3275,4
No,Bad Loan,"(10,20]","(25k,50k]",mortgage,house,60 months,High,44131.42857142857,122000,22.52285714285714,104245.22,7,14.897142857142857,7
